Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Lesotho,LSO,14.2,14,13.8,13.6,13.6,13.6,13.6,13.6,13.6,13.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Liberia,LBR,42.5,42.5,25.3,26.9,31.4,47.7,45.5,45.5,45.5,46.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Libya,LBY,..,..,32.6,32.6,32.6,32.6,32.6,32.6,32.6,32.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Liechtenstein,LIE,..,..,..,..,..,..,..,..,21.6,21.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Lithuania,LTU,45.1,43.1,43,42.9,42.4,42.6,42.6,42.7,42.6,42.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Luxembourg,LUX,20,19.8,20,20.4,20.6,20.6,20.8,20.5,20.5,20.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Madagascar,MDG,42,41.2,39.8,38.9,38.1,38.1,38.1,38.1,38.3,38.3
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Malawi,MWI,25.9,29,32.4,33.5,35.2,34.5,34.5,34.5,34.5,34.5
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Malaysia,MYS,33.9,34.1,34.6,39.1,39.3,40,40,39.2,39.2,38.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Maldives,MDV,9.3,9.3,25.9,30.2,30.2,30.2,30.2,30.2,30.2,30.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Mali,MLI,51.4,51.1,51.1,48.3,48.3,48.3,48.3,48.3,48.3,54.5
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Malta,MLT,..,41.4,41.4,41.4,41.5,41.5,43.8,43.9,44,44
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Marshall Islands,MHL,64.8,64.8,64.8,64.8,64.8,64.8,64.8,64.8,65.7,65.9
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Mauritania,MRT,59.3,59.3,59.3,52.7,67,67,67,67,67,67
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Mauritius,MUS,26.5,28.3,26.9,23.6,23.6,21.5,21.8,21.9,22.1,22.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Mexico,MEX,..,..,..,53.1,53.4,53.5,52.9,53.4,55.7,55.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,"Micronesia, Fed. Sts.",FSM,58.7,59,59.9,60,60.5,60.5,60.5,60.5,60.5,60.5
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Moldova,MDA,30.4,30.8,30.8,39.4,39.4,39.9,40.4,40.5,40.3,38.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Mongolia,MNG,24.7,24.7,24.9,24.8,24.7,24.7,24.7,24.7,24.7,25.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Montenegro,MNE,29.2,24.6,21.8,21.8,21.8,21.8,22.2,22.1,22.2,22.2
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Morocco,MAR,49.7,49.7,49.7,48.8,49,49.1,49.3,49.8,49.8,45.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Mozambique,MOZ,37,37,37,36.1,36.1,36.1,36.1,36.1,36.1,36.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Myanmar,MMR,..,..,39.5,35.4,34,33.1,31.9,31.2,31.2,31.2
