Series Name,Series Code,Country Name,Country Code,2010 [YR2010],2011 [YR2011],2012 [YR2012],2013 [YR2013],2014 [YR2014],2015 [YR2015],2016 [YR2016],2017 [YR2017],2018 [YR2018],2019 [YR2019]
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Ethiopia,ETH,29.1,29.1,33.2,35,35.7,36.9,37.7,37.7,37.7,37.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Fiji,FJI,39.3,38.3,37.6,31.1,31.1,31.1,33.1,32,32.2,32.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Finland,FIN,40.8,39.1,40.6,39.9,40.1,37.9,38.1,38.4,37.3,36.6
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,France,FRA,68,68,69.7,69.8,71.3,64.9,64.1,62.6,60.4,60.7
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Gabon,GAB,44.4,44.4,44.4,44.2,41.7,46.8,46.8,46.8,47.1,47.1
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,"Gambia, The",GMB,285.9,277.1,277.1,272.1,60.1,51.3,51.3,51.3,56.6,48.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Georgia,GEO,15.3,16.5,16.5,16.4,16.4,16.4,16.4,16.4,9.9,9.9
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Germany,DEU,47,45.6,45.9,49.1,48.8,48.8,48.9,48.9,49,48.8
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Ghana,GHA,31.9,32.9,32.8,32.7,32.7,32.7,32.7,33.2,32.4,55.4
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Greece,GRC,46.7,45.9,44.1,44,50.7,49.6,50.7,51.7,51.9,51.9
Paying taxes: Total tax and contribution rate (% of profit),PAY.TAX.TOT.TAX.RT.ZS,Grenada,GRD,45.3,45.3,45.3,45.3,45.3,45.3,45.3,48.4,47.8,47.8
